Gen,Max Fitness,Average Fitness,Max Fitness Genome
86,0.6875,0.6688625,00101001110101110011001011110110000101111100001111000101001100110000100101000011011011000100000100011101
87,0.6875,0.670525,01011010111001101110000011110011001111101011101000001000001101000010000000101111000011001000000100011101
88,0.6875,0.6697125,11011101001000100011010110011101000000000110010011100010111100000100000000100111010100100000000100011101
89,0.6875,0.6704375,00011110100000011111010011010100000101100100001010000101100000010011111100110000101011000000001100011101
90,0.6875,0.66795,11010101111101000010010111000110110111100101110101001010011011110011010100110001110000000000000100011101
91,0.6875,0.670075,00101111001011010101010110001001000111101101111110000100000001000100010010100010001101111000000100011101
92,0.6875,0.668525,10010101111101000010010111000111110111100101110101001010011100010000100000110100011100001000000100101101
93,0.6875,0.67015,01111100010011010000001110110110110110110100011111001000001100000100010010000100000000000100000100111101
94,0.6875,0.6692875,00111010010011110110011010000001000000110111100011100000010100000100010101101010011110000000000100111101
95,0.75,0.669725,00111000001010101011111000100000000000100011010111010001101000000011001010100001001000001000000100111100
96,0.75,0.6701875,00111000001010101011111000100000000000100011010111010001101000000011001010100001001000001000000100111100
97,0.75,0.67,00111000001010101011111000100000000000100011010111010001101000000011001010100001001000001000000100111100
98,0.75,0.6691,00111000001010101011111000100000000000100011010111010001101000000011001010100001001000001000000100111100
99,0.75,0.6655875,00111000001010101011111000100000000000100011010111010001101000000011001010100001001000001000000100111100
100,0.8125,0.6536,11011000001010101011111000100000000000100011010111010001101000000011001010100001001000001000000100011100
101,0.8125,0.6424125,11011000001010101011111000100000000000100011010111010001101000000011001010100001001000001000000100011100
102,0.8125,0.6805625,01101000110100111101110001000000000000100011010111000001101000000011001010100001001000001000000100011100
103,0.8125,0.7164625,10010000111000101011111000100000000000100011010111010001101000000011000010100001001000001000000100011100
104,0.8125,0.742125,11011101111010001001101111100000000000100011010111010001101000000011001010100001001000001000000100011100
105,0.8125,0.755175,10000011010010101011011000100000000000100011010111010001101000000011001010000001001000001000000101111100
106,0.8125,0.754575,01111001011011000110010101100000000000100011010111010001101000000011001010100001001000001000000100011100
107,0.8125,0.7583875,10110110001010010011101011000000000000100011010111010001101000000011001010100011001000001000000100101100
108,0.8125,0.7555125,11011001001010101111110000100000000000100011010111010001101000000011001010100001001000001000000100101100
109,0.8125,0.7568625,01000011010010101011111000110000000000100011010111010001101000000011001010100001001000001000000100011100
110,0.8125,0.758225,11011000001010101011111000100000000000100011010111010001101000000011001010100001001000001000000100011100
111,0.8125,0.75575,00111110101010101011111000100000000000100011010111010001101000000011001010000001001000001000000100011100
112,0.8125,0.7536375,00101000001010101011111000100000000000100011010111010001101000000001000010110001001000001000000100101100
113,0.8125,0.756775,01101000111010101011110001100000000000100011010111010001101000010011001010100001001000001000000100011100
114,0.8125,0.7583375,11110001001010101011011010100000000000100011010111010001101000000011001000000101001000001000000100011100
115,0.8125,0.757925,11011000001010101011111000100000000000100011010111010001101000000011001010100001001000001000000100011100
116,0.8125,0.758325,11011000101011101011110100100000000000100011010111010001100000000011001010100011001000001000000100011100
117,0.8125,0.7550375,11111110011110101001111111100000000000100011010111011001001000000011001010100001001000001000000100101100
118,0.8125,0.7557875,10001011010110101011111000100000000000100011010111010001101000000011001010100011001000001000000100011100
119,0.8125,0.7564625,00101000110100111101100001000000000000100011010111010001101000000111001010100011001000001000000101111100
120,0.8125,0.759625,00111000001010101001111000100000000000100011010111010101101010000011001010100001001000001000000100011100
121,0.8125,0.75605,11011000001010101011111001100000000000100011010111010001101000000011001010100001001000001000000100011100
122,0.8125,0.7592625,11011000101010101011110000100000000000100011010111010001101000000011001010100001001000001000000100011100
123,0.8125,0.7560125,00011000101010101011111001100000000000100011010111010001001000000011000010100001001000001000000100011100
124,0.8125,0.7523375,01110001011011000110000100010000000000100011010111010001101000000111001010100001001000001000000100011100
125,0.8125,0.7587,11100110001100110011111001100000000000100011010111010001101000000001001011110101001000001000000100011100
126,0.8125,0.755275,00100110110001111101000001000000000000100011010111010001101000000011001010100001001000001000000100011100
127,0.8125,0.7547625,10011000110010011001100000100000000000100011010111011001101000000011001010100001001000001000000100011100
128,0.8125,0.7579,00011001001001001110000000100000000000100011010111000001101010100001000010100001001000001000000100011100
129,0.8125,0.7586875,11110100101110101011111000100000000000000011010111010001111000000011011010111001001000001000000100011100
130,0.8125,0.7524,01110100001010101011000100110000000000100011010111011001101000000011001010100001001000001000000100011100
131,0.8125,0.7601375,11111000001110101011100001001000000000100011010111010001101000100010001010110001001000001000000100011100
132,0.8125,0.756,01110100100111100101111101110100000000100011010111010001101000000011001010100001001000001000000100011100
133,0.8125,0.7594625,11011000001010100001111011010100000000100011010111010001001000010010001010100001001000001000000100011100
134,0.8125,0.7574,00111100001010100101111101110100000000100011010111110000101000001011001011100001001000001000000100011100
135,0.8125,0.7629375,00111010001010101011111000110000000000100011010111010001101100000011001010100011001000001000000100011100
136,0.8125,0.7539375,01011000000010111010100000100000000000100011010111010001101001100011001010100001001000001000000101111100
137,0.8125,0.75515,01101000110101011101100001100000000000100011010111010001101100010011001010100001001000001000000100011100
138,0.8125,0.75885,00000000101111000101100000100000000000000011010111110011100000010000001110100001001000001000000100011100
139,0.8125,0.754025,10111000000010111010100000100000000000100011010111010001101000000111001011100011001000001000000100011100
140,0.8125,0.7586625,00111000001011001011111000100000000000100011010111010001101000000111001010100001001000001000000100011100
141,0.8125,0.7538625,01101010001000111011111000000000000000100011010111010001100000000011101010100001001000001000000100101100
142,0.8125,0.755425,00101010001010101011111100100000000000100011010111110001101000000011001010100001001000001000000100011100
143,0.8125,0.75745,10000011110010101011111000100100000000100011010111010001001000100011111100100001001000001000000101111100
144,0.8125,0.7553125,11111000001111110110001011000100000000100011010111010001011010101010001010110001001000001000000100011100
145,0.8125,0.75625,00010100001111000011111101101100000000100011010111010001101000010011011011100001001000001000000100011100
146,0.8125,0.7529625,00101000110101111111111111100000000000100011010111010001100000100011001110101000001000001000000101111100
147,0.8125,0.7586,00111100011010101001111000100000000000100011010111011001101010100011111010000000001000001000000100011100
148,0.8125,0.7489375,10110000001010101001111100100100000000100011010111010000111000000011001010100001001000001000000100101100
149,0.8125,0.75445,11011010010101111001111000100000000000100011010111111000101000010011001010000001001000001000000100101100
150,0.8125,0.756675,01110000001011101100000000000000000000100011010111010001111000001011011011101001001000001000000100011100
151,0.8125,0.75665,01101001111100010011011111110000000000000011010111010011101000000011001011100011001000001000000100011100
152,0.8125,0.750975,01001011010100111101101000110000000000100011010111111001101000010110001110110001001000001000000100011100
153,0.8125,0.756325,11010011001010001100100001100000000000100011010111010001101000010011000110100001001000001000000100101100
154,0.8125,0.75695,01011001001010100011110000100000001000000011010111010001111010000111001010100001001000001000000100011100
155,0.8125,0.7532625,01101000110010101111011100100100000000100011010111010101101100110011001011100001001000001000000100011100
156,0.8125,0.753825,00101110001110010010100000100000000000100011010111000001101000010110001111100001001000001000000100011100
157,0.8125,0.756775,01111000100010101001111001100100000000100011010111010000101000000111101110100111001000001000000100011100
158,0.8125,0.7549,10010111000101111101111000101000000000100011010111100001101010000011001010100000001000001000000100011100
159,0.8125,0.7610375,00111000110001001110100101111100000000000011010111010000001110010011001010101000001000001000000100011100
160,0.8125,0.7581375,00011000001011100011001110110000000000000011010111110001011001100011101110100100001000001100000100011100
161,0.8125,0.7605875,10110000001010011001000000100000000000100011010111010011101000000011111010000001001000001000000100011100
162,0.8125,0.7536125,11111000011000111011111000000000000000100011010111010001111001010011001010100001001000001000000100101100
163,0.8125,0.755425,01101101001110001011101010100000000000000011010111010011111010000000001000110001001000001000000100011100
164,0.8125,0.7558625,01010100001010101011111110100000000000100011010111111011101111101001001011100001001000001000000100011100
165,0.8125,0.7586375,01101001111010101110111010100000000000100011010111010001001000001001000011100101001000001000000100011100
166,0.8125,0.7552375,11011000011011011101100000000000000000100011010111011011111000000011001010000001001000001000000100011100
167,0.8125,0.7538875,01111010001010101011111001100000000000000011010111010001011000000011111000100001001000001000000100011100
168,0.8125,0.7549,11111000011010000011111001010100000000100011010111011001101100010011001010101101001000001000000100011100
169,0.8125,0.7561125,10011100111011100101000000100100000000100011010111010011101000001011100010100001001000001000000100011100
170,0.8125,0.7572125,01011000001010101111101100100000000000100011010111010001101010000011001110001101001000001000000100011100
171,0.8125,0.7512,10010100001010101010111001000100000000100011010111010001100010100001001010110000001000001000000100101100
