"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
106,0.875,0.816225,00000100110010001100000010000000000001001100111000000110010000100110011100011001000010110110011010111010
107,0.875,0.817725,00000100110101100011000010000000010000001100100101000110010000100110011000111101010100001011101111101010
108,0.875,0.8191125,00000100110111001001000010000010110001001100001100000110010000100110011110111000101000001011111101111010
109,0.875,0.81545,00000100111011001101000010000000111001011010101100000110010000100110011101011000000000111011111110011010
110,0.875,0.8199875,00000100110111001101000010000000010000000110101100000110010000100110011101011000000000111011111110011010
111,0.875,0.81595,00000100110100011111000010000010110000001101101101000110010000100110011101011001010100000010101111011010
112,0.875,0.8203625,00000100110111111001000010000000000011000100101110000110010000100110011000111001010100001011011110011010
113,0.875,0.8159625,00000100110101101011000010000000010000001000001000000110010000100110011010011001000110001010010111101010
114,0.875,0.8206625,00000100110110001101000010000000010001001100101000000110010000100110011101111010000101000010111110001010
115,0.875,0.8189875,00000100110100001101000010000001011101001110101100000110010000100110011110011001010000001011111111011010
116,0.875,0.814925,00000100110110011101000010000001110001100100111110000110010000100110011010010001000010001011100111011010
117,0.875,0.815775,00000100110101001100000010000000010000100100101101000110010000100110010100111000010011101011011101101010
118,0.875,0.8188875,00000100111111010111000010000000011100010010101101000110010000100110011100101001010101001100000111001010
119,0.875,0.8152125,00000100111001000100000010000001010001011100100101000110010000100110011000100000100001001111111111011010
120,0.875,0.8183125,00000100110101001100000010000010010000101001101100000110010000100110011010111001010100101011111111111010
121,0.875,0.8148125,00000100111100011001000010000000110001000100111100000110010000100110011100111011001101111111111111001010
122,0.875,0.8177375,00000100110110001111000010000000110101011100101100000110010000100110011101110001010100000011110011011010
123,0.875,0.815825,00000100110101001101000010000001000101000100111100000110010000100110011100101001001000011010000111011010
124,0.875,0.8168125,00000100110111000001000010000000010001111101101110000110010000100110011000110000010000000010111111011010
125,0.875,0.8120625,00000100110111001101000010000000011100011110001100000110010000100110011100111110000000001010111111011010
126,0.875,0.8188,00000100110111001100000010000000000100011000011110000110010000100110011100111000010100001011111111011010
127,0.875,0.81545,00000100111011001101000010000000000001011110101100000110010000100110011100101011001100000010101111001010
128,0.875,0.8244875,00000100110110011101000010000000000100001101001100000110010000100110011100111011000101101110110111001010
129,0.875,0.8185125,00000100110110001001000010000000001110000100110101000110010000100110011000111101100001101110011111011010
130,0.875,0.8137125,00000100110001011101000010000010010001111100111110000110010000100110011100101011010011001011111111111010
131,0.875,0.8107,00000100110111001111000010000000001111001100001100000110010000100110011100101001001000111110111110111010
132,0.875,0.8180625,00000100110111101101000010000001000100010000101101000110010000100110011100111011010000011110011011101010
133,0.875,0.815425,00000100111001011101000010000001001110011100011100000110010000100110011110111001100001111011100111011010
134,0.875,0.818025,00000100110001001011000010000011100001011000111101000110010000100110010010110001000000101111101111011010
135,0.875,0.816525,00000100110111001101000010000000000100001100101101000110010000100110011100001000010000101010101111011010
136,0.875,0.818225,00000100110011111111000010000000001011101100101011000110010000100110011100010100010001100010100101111010
137,0.875,0.8219,00000100110111011101000010000001010111001111101100000110010000100110011100111001000001001101011111011010
138,0.875,0.8113125,00000100110001001011000010000011100100010000101100000110010000100110011101111001000000100110011111111010
139,0.875,0.819475,00000100110111101000000010000000001011100100001100000110010000100110011100111001000001001101011111011010
