"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
93,0.6875,0.6712625,11001101000110011001010011001100011000000010101111010111000100011110011101001010100011010000001100011101
94,0.6875,0.6697875,01010110010010100000011010010001110100010011011001101100000100001011101110110010101010111100001000001101
95,0.6875,0.6692125,01001000011010010101111001100001110011000010000001010101100000100100101101110011111011110000001100001101
96,0.6875,0.6662625,11110110011100101101000101101011000100100001000111000010011100001000101110000111101001011100001000011101
97,0.6875,0.6687375,11001111001100010010110011011001101100000010011101101111111100101011111100101100001001111000000100101101
98,0.6875,0.671675,11111010100011111111010111001101001100100000010000100000111110110000001100011010110111110000001100011101
99,0.6875,0.67005,00010100010001011000110111111011110100010011001010001111001100011000100011111101001011011000001100011101
100,0.6875,0.66765,11110110011100101101000101001010001110011110000111001100111000001000110000110000101011001000000100111101
101,0.6875,0.6683,10110000011100111100011110111100000000111001001101000100100100101001111110011011010101101100001000001101
102,0.6875,0.6679375,11110111100110001111111000011100010000010010101111000100111101101000110011101001000111000100001000101101
103,0.6875,0.671525,11101100010110110011100110110010111000111001011100000101101100101100101110010110101011010100001100011101
104,0.6875,0.668325,10110110101010110011010010101100010011010000100101000110111000101000000001011000001101011100001000011101
105,0.6875,0.669825,00010001101000000001110010010001011010100011011110100001110100001110100100010110000010011000001000011101
106,0.6875,0.6680125,01010001111101000111110110110010101110010100110101010000101000011110001100001111101011011100000100011101
107,0.6875,0.6683,01000001010110000110011011000111011100000001100110100001111001011011111011011000110111011100001000011101
108,0.6875,0.6692375,11110111011011000011101111010011100010100001100011011000000100000100111010010111000011010100001000001101
109,0.6875,0.667475,10010001101100110010011011010011001000110001000001111111001100010110101100001001011101010100001100111101
110,0.6875,0.6701375,00100110000000001100101111110011100100100000110100100011111001101010011010100111010101011000001000001101
111,0.6875,0.6709625,01011011010101011011010011111111000000010110100100110001010110011001001110111110000001001000001000011101
112,0.6875,0.668625,01010101100001011101100010001100011000001000001001101110100100101001011011110101110111111100001000011101
113,0.6875,0.6680625,01010010011011011010110010100000110000100000100001000110101000100001011101101100101011010000000000001101
114,0.6875,0.6701125,00010110110010110111010000100011100000010001100110010110001100000101001001000011000001101000001000011101
115,0.6875,0.667425,01001011010000111101010010110001001100110010010110110100110100001011110100011010000001101000000100011101
116,0.6875,0.6658875,00000110011010101000111011101001001000101000001110110111001100000111111100111111101010011100001000001101
117,0.6875,0.6683625,11000001111110001000010010110001001100110100100100000111101110001001000100001110100010000100001000011101
118,0.6875,0.667975,01001101110010101011010010110000011001110011100000111101101110000100100100111011010111110000000100011101
119,0.6875,0.669375,00101110100001011011000111101110010100010101010101010000111100001010101101011001111110111100000100011101
120,0.6875,0.669775,01010111111100111000001010100110010100010101010101010110101100001000000100000001100011000000001100001101
121,0.6875,0.67025,11010011101001110011111100011110010101000011001010111111101100000011110101101011101001000100000100011101
122,0.6875,0.669225,10101111010101100011010010111101100100011010010110000011110010001100110010011111110001111000001100001101
123,0.6875,0.6696625,10111111111101011100100001011111100100001110100010101101101110000011100011001010000100110100000000001101
124,0.6875,0.6706625,11110100101100101000011010000000010010111001110011110000011101011110010011100000110110111000001100001101
125,0.6875,0.669575,10110100010011101111011100110111011000111000000110011100010101001100011101101110110011110000001000001101
126,0.6875,0.668425,10001111011100011110010110000101101000001010100101001010110100111100111010000100110111101000001100011101
